,fecha,precio,año_hecho,año_renovado,metros_cuadrados,pisos,habitaciones,baños,calle,codigo_zip,estado,ciudad
0,24/06/2019,260070.0,01/01/1982,2016.0,762.0,1.0,4.0,2.0,2400 WALNUT RIDGE ST,75229.0,TX,DALLAS
1,18/07/2019,456280.0,01/01/1982,2016.0,866.0,2.0,4.0,2.0,10400 BIG THICKET DR,75217.0,TX,DALLAS
2,31/07/2019,237820.0,01/01/1982,2016.0,814.0,1.0,5.0,3.0,9200 DARTWOOD LN,75225.0,TX,DALLAS
3,14/08/2019,231000.0,01/01/1980,2016.0,680.0,1.0,4.0,2.0,4800 SIMCOE ST,75228.0,TX,DALLAS
4,31/07/2019,1410820.0,01/01/1980,2016.0,1018.0,2.0,4.0,2.0,6926 STEFANI DR,75225.0,TX,DALLAS
5,16/07/2019,740220.0,01/01/1980,2016.0,792.0,2.0,4.0,3.0,7800 MATTISON ST,75217.0,TX,DALLAS
6,28/06/2019,275830.0,01/01/1980,2016.0,640.0,2.0,4.0,2.0,400 SUNNYSIDE AVE,75211.0,TX,DALLAS
7,27/06/2019,355420.0,01/01/1980,2016.0,399.0,2.0,2.0,1.0,200 KITTIWAKE CIR,75211.0,TX,DALLAS
8,24/07/2019,390780.0,01/01/1979,2016.0,503.0,1.0,3.0,2.0,11600 TUSCANY WAY,75218.0,TX,DALLAS
9,11/07/2019,1152800.0,01/01/1977,2016.0,716.0,1.0,3.0,2.0,2400 51ST ST,75216.0,TX,DALLAS
10,07/06/2019,678110.0,01/01/1977,2016.0,920.0,2.0,5.0,3.0,2901 MAGNOLIA HILL CT,75201.0,TX,DALLAS
11,25/07/2019,281880.0,01/01/1977,2016.0,735.0,1.0,4.0,2.0,9821 COUNTY CORK DR,75218.0,TX,DALLAS
12,20/06/2019,225820.0,01/01/1977,2016.0,448.0,1.0,3.0,2.0,DALLAS,75208.0,TX,DALLAS
13,07/06/2019,552190.0,01/01/1977,2016.0,945.0,2.0,3.0,2.0,515 ERVAY ST,DALLAS,TX,DALLAS
14,21/07/2019,457280.0,01/01/1973,2016.0,421.0,2.0,3.0,2.0,444 OAK HOLLOW DR,DALLAS,TX,DALLAS
15,10/06/2019,549014.5,01/01/1972,2016.0,703.2,2.0,3.0,2.0,2900 TALISMAN DR,75229.0,TX,DALLAS
16,07/08/2019,1078030.0,01/01/1972,2016.0,1036.0,1.0,3.0,3.0,2900 VICTORIAN FOREST DR,75227.0,TX,DALLAS
17,28/07/2019,335730.0,01/01/1972,2016.0,418.0,2.0,4.0,2.0,2612 THE MALL,75219.0,TX,DALLAS
18,27/06/2019,182460.0,01/01/1969,2016.0,335.0,1.0,3.0,1.0,2540 BAHAMA DR,75211.0,TX,DALLAS
19,13/08/2019,544470.0,01/01/1969,2016.0,384.0,1.0,3.0,2.0,9401 DIXIE LN,75228.0,TX,DALLAS
20,30/07/2019,907040.0,01/01/1968,2016.0,972.0,1.0,5.0,4.0,1011.5 CAMERON AVE,75223.0,TX,DALLAS
21,31/07/2019,217920.0,01/01/1968,2016.0,354.0,1.0,3.0,2.0,12201 MONTEGO PLZ,75230.0,TX,DALLAS
22,07/07/2019,327510.0,01/01/1968,2016.0,436.0,1.0,3.0,2.0,6701 ALEXANDER DR,75214.0,TX,DALLAS
23,19/06/2019,543510.0,01/01/1965,2016.0,701.0,1.0,3.0,3.0,1201 MEDICAL DISTRICT DR,75207.0,TX,DALLAS
24,23/07/2019,417890.0,01/01/1951,2016.0,460.0,1.0,3.0,2.0,900 GAUSE LN,75217.0,TX,DALLAS
25,12/08/2019,871620.0,01/01/1921,2016.0,969.0,2.0,4.0,3.0,11001 MILHOF DR,75228.0,TX,DALLAS
26,03/07/2019,599860.0,01/01/1919,2016.0,634.0,1.0,4.0,3.0,4000 RANGER DR,75212.0,TX,DALLAS
27,10/07/2019,876330.0,01/01/1907,2016.0,963.0,2.0,5.0,3.0,2201 LAWRENCE ST,75215.0,TX,DALLAS
28,14/07/2019,436800.0,01/01/1904,2016.0,274.0,1.0,2.0,1.0,2001 SKYLARK DR,75216.0,TX,DALLAS
29,08/07/2019,442400.0,01/01/1904,2016.0,430.0,1.0,2.0,1.0,2700 LAWTHERWOOD CT,75214.0,TX,DALLAS
30,03/07/2019,842790.0,01/01/1904,2016.0,988.0,2.0,4.0,3.0,4201 BERNAL DR,75212.0,TX,DALLAS
31,27/06/2019,476090.0,01/01/1984,2015.0,622.0,1.0,3.0,2.0,5200 PRESTON HAVEN DR,75229.0,TX,DALLAS
32,14/06/2019,783880.0,01/01/1982,2015.0,896.0,2.0,4.0,3.0,1100 MORELAND AVE,75204.0,TX,DALLAS
33,18/07/2019,253640.0,01/01/1982,2015.0,634.0,1.0,4.0,3.0,800 WOODROCK DR,75217.0,TX,DALLAS
34,12/08/2019,527350.0,01/01/1982,2015.0,960.0,1.0,6.0,4.0,11000 PEPPERIDGE CIR,75228.0,TX,DALLAS
35,14/07/2019,607580.0,01/01/1981,2015.0,875.0,2.0,3.0,3.0,4701 NOME ST,75216.0,TX,DALLAS
36,02/07/2019,399770.0,01/01/1981,2015.0,902.0,2.0,4.0,3.0,500 BOTANY BAY DR,75211.0,TX,DALLAS
37,21/07/2019,310400.0,01/01/1981,2015.0,369.0,1.0,3.0,2.0,6201 JEANE ST,75217.0,TX,DALLAS
38,07/06/2019,401830.0,01/01/1981,2015.0,1180.0,2.0,4.0,3.0,2300 LEONARD ST,75201.0,TX,DALLAS
39,31/07/2019,222850.0,01/01/1981,2015.0,552.0,2.0,3.0,2.0,3800 MORNING DEW CIR,75224.0,TX,DALLAS
40,15/07/2019,226090.0,01/01/1981,2015.0,567.0,1.0,3.0,2.0,4101 CALDER ST,75216.0,TX,DALLAS
41,02/07/2019,589610.0,01/01/1981,2015.0,756.0,2.0,3.0,2.0,1621 WESTERN PARK CT,75211.0,TX,DALLAS
42,26/06/2019,196850.0,01/01/1980,2015.0,466.0,1.0,3.0,2.0,3220 AL LIPSCOMB WAY,75210.0,TX,DALLAS
43,30/07/2019,303330.0,01/01/1980,2015.0,357.0,1.0,3.0,1.0,1601 SHELMIRE DR,75224.0,TX,DALLAS
44,13/06/2019,425670.0,01/01/1980,2015.0,521.0,1.0,3.0,2.0,2200 APOLLONIA LN,75204.0,TX,DALLAS
45,04/07/2019,318410.0,01/01/1980,2015.0,344.0,1.0,3.0,2.0,6501 ARBORIST LN,75214.0,TX,DALLAS
46,30/06/2019,677050.0,01/01/1980,2015.0,939.0,1.0,3.0,3.0,1800 DRYDEN DR,75211.0,TX,DALLAS
47,19/06/2019,1403160.0,01/01/1980,2015.0,850.0,2.0,3.0,3.0,5101 RED HICKORY LN,75206.0,TX,DALLAS
48,20/06/2019,254440.0,01/01/1980,2015.0,527.0,1.0,3.0,2.0,901 BASSETT PL,75208.0,TX,DALLAS
