,FECHA_DOC,CVE_ART,COSTO_UNITARIO
0,2022-01-05,TUE00244,52.8
1,2022-01-05,TUA00028,327.18
2,2022-01-05,TP0007,177.68
3,2022-01-05,TP0001,38.96
4,2022-01-05,BP00242,101.71
5,2022-01-05,BP00243,49.41
6,2022-01-05,RP00165,5323.76
7,2022-01-05,TP0001,38.96
8,2022-01-05,TUE00207,517.89
9,2022-01-05,TUE00207,517.89
10,2022-01-05,TUE00207,517.89
11,2022-01-05,TUE00207,0.0
12,2022-01-05,TUE00207,0.0
13,2022-01-05,BO00051,0.0
14,2022-01-05,BC00023,0.0
15,2022-01-05,PT00070,51.73
16,2022-01-05,TP0011,124.0
17,2022-01-05,PJ31C1F1AA00,0.0
18,2022-01-05,WRE-2133,0.0
19,2022-01-05,WRE-2774,0.0
20,2022-01-05,WRE-4885,27.43
21,2022-01-07,MR01934,147.76
22,2022-01-07,PT00080,259.35
23,2022-01-07,PT00081,332.65
24,2022-01-07,RP00150,0.36
25,2022-01-07,TUA00009,1081.89
26,2022-01-07,TP0011,124.0
27,2022-01-07,TP0012,44.14
28,2022-01-07,PT00044,489.39
29,2022-01-07,BOBINA001,305.44
30,2022-01-10,TUE00247,295.24
31,2022-01-10,BOBINA001,305.44
32,2022-01-10,TUE00320,178.6
33,2022-01-11,PJ31A1F1A400,68.95
34,2022-01-11,PK31A1F1A400,78.32
35,2022-01-11,RP00172,5.76
36,2022-01-11,RP00173,45.01
37,2022-01-11,BN00232,289.05
38,2022-01-12,CBS00045,64.85
39,2022-01-12,MR01934,0.0
40,2022-01-12,TUE00321,0.0
41,2022-01-12,TF71E1120A00,101.71
42,2022-01-12,BO00052,0.0
43,2022-01-12,TUA00404,0.0
44,2022-01-13,TEE00025,0.0
45,2022-01-14,TUS00049,140.29
46,2022-01-14,TUE00322,181.88
47,2022-01-14,TUE00323,249.89
48,2022-01-14,TUS00020,48.56
49,2022-01-14,TUE00328,0.0
50,2022-01-17,TUS00003,85.29
51,2022-01-17,BB1 1/2X1/2-300W,220.0
52,2022-01-17,TP0008,211.36
53,2022-01-17,TUE00324,242.48
54,2022-01-17,TUE00325,235.56
55,2022-01-17,TUE00326,0.0
56,2022-01-17,TUE00327,0.0
57,2022-01-17,RB00010,44.7
58,2022-01-18,P7J6C1D1A030,4.02
59,2022-01-19,CS12E2040A00,69.23
60,2022-01-19,CS12E2040A00,69.23
61,2022-01-19,BC00024,556.14
62,2022-01-19,BC00025,447.68
63,2022-01-19,BP00241,95.82
64,2022-01-19,TP00016,158.4
65,2022-01-19,TUA00258,272.65
66,2022-01-19,BN00236,161.63
67,2022-01-19,BN00237,105.68
68,2022-01-20,TUA00364,0.0
69,2022-01-20,BP00245,51.38
70,2022-01-20,BP00244,291.72
71,2022-01-21,PK31B1I1A000,0.0
72,2022-01-21,BP00051,52.48
73,2022-01-21,TUA00400,139.82
74,2022-01-21,ECQ-00972,275.5
75,2022-01-21,TU5/16X230MM,200.3
76,2022-01-24,TUE00146,372.67
77,2022-01-24,BO00054,360.5
78,2022-01-24,BO00055,337.97
79,2022-01-24,70001693,113.47
80,2022-01-24,TP0004,77.13
81,2022-01-24,BE00010,0.0
82,2022-01-24,BL00011,0.0
83,2022-01-24,BL00052,0.0
84,2022-01-25,TUS00086,85.89
85,2022-01-25,TEA00058,95.96
86,2022-01-25,TEA00059,131.65
87,2022-01-25,TEE00026,0.0
88,2022-01-25,TP0003,71.25
89,2022-01-26,TP0001,38.96
90,2022-01-26,TUA00410,363.33
91,2022-01-26,CS14B1010A00,27.08
92,2022-01-27,TUA00350,436.54
93,2022-01-27,TP0001,38.96
94,2022-01-28,PK18J1F1A400,113.22
95,2022-01-28,RP00176,0.0
96,2022-01-28,TUS00064,0.0
97,2022-01-28,TUA00078,0.0
98,2022-01-28,CS38E1017A00,0.0
99,2022-01-28,TP0003,71.25
100,2022-01-28,TP0025,75.89
101,2022-01-31,PT00082,0.0
102,2022-01-31,54020219,1041.08
103,2022-01-31,93980461,1298.68
104,2022-01-31,PJ14F10B0600,0.0
105,2022-01-31,TUE00057,435.3
106,2022-01-31,TUE00331,0.0
107,2022-01-31,BT00005,167.3
108,2022-01-31,RC00024,104.4
109,2022-01-31,TUE00332,0.0
110,2022-01-31,TUA00124,0.0
111,2022-01-31,TUE00063,0.0
112,2022-01-31,TUE00129,0.0
113,2022-01-31,TUE00008,0.0
114,2022-01-31,TUA00401,281.94
115,2022-01-31,CAS00066,0.0
116,2022-01-31,BB00077,0.0
117,2022-01-31,TUS00052,13.38
118,2022-02-01,TU5/16X230MM,0.0
119,2022-02-01,TJ00087,0.0
120,2022-02-01,TJ00088,0.0
121,2022-02-02,BB1 1/2X1/2-300W,220.0
122,2022-02-02,CBS00002,492.92
123,2022-02-02,TUS00052,13.38
124,2022-02-02,TUA00407,174.76
125,2022-02-02,TP0005,0.0
126,2022-02-02,65014-38,246.94
127,2022-02-03,CS12G1040A00,90.18
128,2022-02-03,MA00001,156.83
129,2022-02-03,TUA00412,0.0
130,2022-02-03,TUA00414,0.0
131,2022-02-03,CS12J1075A00,0.0
132,2022-02-03,TUE00329,130.78
133,2022-02-03,TUE00330,134.36
134,2022-02-04,TUA00143,189.47
135,2022-02-04,BB2X2ST,220.0
136,2022-02-04,TUA00405,395.14
137,2022-02-04,TUA00406,141.65
138,2022-02-08,CBS00001,526.27
139,2022-02-08,BN00112,0.0
140,2022-02-08,RPISTOLA01,96.78
141,2022-02-08,TUA00408,533.27
142,2022-02-08,P231B1AF0500,319.99
143,2022-02-08,TUE00334,0.0
144,2022-02-09,TUA00400,168.4
145,2022-02-09,TUA00415,0.0
146,2022-02-09,TEA00004,0.0
147,2022-02-09,TUA00082,0.0
148,2022-02-09,TUE00098,78.83
149,2022-02-10,RC00026,0.0
150,2022-02-10,ECQ-01444,0.0
151,2022-02-10,TUS00002,0.0
152,2022-02-10,TP0016,222.0
153,2022-02-10,TP0026,113.59
154,2022-02-11,CBS00099,153.97
155,2022-02-11,TK00062,112.64
156,2022-02-11,TP0005,87.1
157,2022-02-11,CBS00100,0.0
158,2022-02-11,PK31B1G10000,0.0
159,2022-02-14,BN00055,182.75
160,2022-02-14,CS38M1050A01,0.0
161,2022-02-14,CS38N1050A01,0.0
162,2022-02-14,BL00053,36.92
163,2022-02-14,BN00232,299.62
164,2022-02-14,BP00246,31.72
165,2022-02-14,BP00247,155.39
166,2022-02-14,BP00248,145.21
167,2022-02-14,BN00115,150.74
168,2022-02-14,TUS00052,17.39
169,2022-02-14,TP0010,106.55
170,2022-02-14,CM12G2075A00,0.0
171,2022-02-14,RP00177,0.0
172,2022-02-15,TUS00111,0.0
173,2022-02-15,TUE00148,0.0
174,2022-02-15,TU5/16X230MM,0.0
175,2022-02-16,TP0002,51.36
176,2022-02-16,PT00057,98.64
177,2022-02-16,PT00082,1214.3
178,2022-02-16,TU5/16X203V,0.0
179,2022-02-17,TUE00081,431.83
180,2022-02-17,TP0011,124.0
181,2022-02-17,TUA00280,175.18
182,2022-02-17,RP00178,12.4
183,2022-02-17,BO00053,0.0
184,2022-02-17,P7J6C1D1A030,36.53
185,2022-02-18,TEA00092,672.74
186,2022-02-18,TEA00093,1190.42
187,2022-02-18,PK14C1D1G300,0.0
188,2022-02-18,TT00007,0.0
189,2022-02-18,TT00008,0.0
190,2022-02-18,TU5/16X203V240W,112.61
191,2022-02-18,TEA00023,0.0
